p cnf 97 375
-43 -64 -73 0
-17 18 35 0
-33 -43 91 0
56 -75 94 0
-20 -51 -60 0
10 -15 92 0
-74 78 -80 0
29 35 91 0
21 -39 0
-1 -63 72 0
52 97 0
55 65 -76 0
-4 -64 -94 0
21 84 -94 0
-68 -74 75 0
-5 83 97 0
56 -59 -71 0
41 -50 -82 0
-35 -36 -87 0
-11 -16 -43 0
80 83 0
7 -40 -57 0
33 86 -93 0
21 53 -58 0
69 -85 -86 0
1 -18 -83 0
-16 -27 43 0
16 19 -45 0
11 30 -47 0
-19 -29 52 0
19 -25 95 0
41 45 89 0
2 5 -54 0
-6 20 91 0
-39 -54 -75 0
35 -36 58 0
-6 -67 -91 0
15 46 -55 0
-2 65 -86 0
45 -82 -95 0
-19 76 -83 0
-34 37 67 0
23 69 75 0
10 -19 -30 0
24 -79 93 0
-53 62 -90 0
3 -55 88 0
3 -43 65 0
-13 59 -76 0
-35 -39 59 0
11 47 -68 0
-23 47 -71 0
-70 -73 -87 0
5 26 64 0
-23 70 -74 0
35 -58 90 0
46 59 64 0
15 61 -85 0
5 -86 -87 0
32 -67 74 0
-66 -73 -78 0
21 -41 -97 0
70 90 93 0
-3 74 84 0
13 -64 89 0
8 -37 -62 0
-40 -78 96 0
-15 32 -48 0
-13 23 -55 0
33 -38 -78 0
-12 -57 91 0
49 73 97 0
18 -28 75 0
15 -47 -91 0
-45 -57 -86 0
-18 -79 -83 0
4 -10 49 0
1 6 11 0
2 -39 -77 0
-14 -20 -47 0
-50 68 71 0
12 -14 42 0
29 -37 70 0
-16 -33 -93 0
32 80 -86 0
27 -73 82 0
-46 -48 61 0
20 -44 95 0
-3 76 -79 0
6 66 -90 0
26 -76 -85 0
26 -70 85 0
12 33 -77 0
-25 -48 -75 0
10 11 -48 0
4 9 -55 0
19 -20 -61 0
18 67 -80 0
7 -13 57 0
-57 60 -88 0
4 -5 -68 0
25 -30 73 0
29 40 41 0
-4 67 -76 0
