p cnf 47 867
-1 -2 -3 -4 0
-1 -2 -3 -5 0
-1 -2 -3 -6 0
-1 -2 -4 -5 0
-1 -2 -4 -6 0
-1 -2 -5 -6 0
-1 -3 -4 -5 0
-1 -3 -4 -6 0
-1 -3 -5 -6 0
-1 -4 -5 -6 0
-2 -3 -4 -5 0
-2 -3 -4 -6 0
-2 -3 -5 -6 0
-2 -4 -5 -6 0
-3 -4 -5 -6 0
1 2 3 4 0
1 2 3 5 0
1 2 3 6 0
1 2 4 5 0
1 2 4 6 0
1 2 5 6 0
1 3 4 5 0
1 3 4 6 0
1 3 5 6 0
1 4 5 6 0
2 3 4 5 0
2 3 4 6 0
2 3 5 6 0
2 4 5 6 0
3 4 5 6 0
-7 -8 -9 -10 0
-7 -8 -9 -11 0
-7 -8 -9 -12 0
-7 -8 -10 -11 0
-7 -8 -10 -12 0
-7 -8 -11 -12 0
-7 -9 -10 -11 0
-7 -9 -10 -12 0
-7 -9 -11 -12 0
-7 -10 -11 -12 0
-8 -9 -10 -11 0
-8 -9 -10 -12 0
-8 -9 -11 -12 0
-8 -10 -11 -12 0
-9 -10 -11 -12 0
7 8 9 10 0
7 8 9 11 0
7 8 9 12 0
7 8 10 11 0
7 8 10 12 0
7 8 11 12 0
7 9 10 11 0
7 9 10 12 0
7 9 11 12 0
7 10 11 12 0
8 9 10 11 0
8 9 10 12 0
8 9 11 12 0
8 10 11 12 0
9 10 11 12 0
-13 -14 -15 -16 0
-13 -14 -15 -17 0
-13 -14 -15 -18 0
-13 -14 -16 -17 0
-13 -14 -16 -18 0
-13 -14 -17 -18 0
-13 -15 -16 -17 0
-13 -15 -16 -18 0
-13 -15 -17 -18 0
-13 -16 -17 -18 0
-14 -15 -16 -17 0
-14 -15 -16 -18 0
-14 -15 -17 -18 0
-14 -16 -17 -18 0
-15 -16 -17 -18 0
13 14 15 16 0
13 14 15 17 0
13 14 15 18 0
13 14 16 17 0
13 14 16 18 0
13 14 17 18 0
13 15 16 17 0
13 15 16 18 0
13 15 17 18 0
13 16 17 18 0
14 15 16 17 0
14 15 16 18 0
14 15 17 18 0
14 16 17 18 0
15 16 17 18 0
-19 -20 -21 -22 0
-19 -20 -21 -23 0
-19 -20 -21 -24 0
-19 -20 -22 -23 0
-19 -20 -22 -24 0
-19 -20 -23 -24 0
-19 -21 -22 -23 0
-19 -21 -22 -24 0
-19 -21 -23 -24 0
-19 -22 -23 -24 0
-20 -21 -22 -23 0
-20 -21 -22 -24 0
-20 -21 -23 -24 0
-20 -22 -23 -24 0
-21 -22 -23 -24 0
19 20 21 22 0
19 20 21 23 0
19 20 21 24 0
19 20 22 23 0
19 20 22 24 0
19 20 23 24 0
19 21 22 23 0
19 21 22 24 0
19 21 23 24 0
19 22 23 24 0
20 21 22 23 0
20 21 22 24 0
20 21 23 24 0
20 22 23 24 0
21 22 23 24 0
-25 -26 -27 -28 0
-25 -26 -27 -29 0
-25 -26 -27 -30 0
-25 -26 -28 -29 0
-25 -26 -28 -30 0
-25 -26 -29 -30 0
-25 -27 -28 -29 0
-25 -27 -28 -30 0
-25 -27 -29 -30 0
-25 -28 -29 -30 0
-26 -27 -28 -29 0
-26 -27 -28 -30 0
-26 -27 -29 -30 0
-26 -28 -29 -30 0
-27 -28 -29 -30 0
25 26 27 28 0
25 26 27 29 0
25 26 27 30 0
25 26 28 29 0
25 26 28 30 0
25 26 29 30 0
25 27 28 29 0
25 27 28 30 0
25 27 29 30 0
25 28 29 30 0
26 27 28 29 0
26 27 28 30 0
26 27 29 30 0
26 28 29 30 0
27 28 29 30 0
-31 -32 -33 -34 0
-31 -32 -33 -35 0
-31 -32 -33 -36 0
-31 -32 -34 -35 0
-31 -32 -34 -36 0
-31 -32 -35 -36 0
-31 -33 -34 -35 0
-31 -33 -34 -36 0
-31 -33 -35 -36 0
-31 -34 -35 -36 0
-32 -33 -34 -35 0
-32 -33 -34 -36 0
-32 -33 -35 -36 0
-32 -34 -35 -36 0
-33 -34 -35 -36 0
31 32 33 34 0
31 32 33 35 0
31 32 33 36 0
31 32 34 35 0
31 32 34 36 0
31 32 35 36 0
31 33 34 35 0
31 33 34 36 0
31 33 35 36 0
31 34 35 36 0
32 33 34 35 0
32 33 34 36 0
32 33 35 36 0
32 34 35 36 0
33 34 35 36 0
-37 -38 -39 -40 0
-37 -38 -39 -41 0
-37 -38 -39 -42 0
-37 -38 -40 -41 0
-37 -38 -40 -42 0
-37 -38 -41 -42 0
-37 -39 -40 -41 0
-37 -39 -40 -42 0
-37 -39 -41 -42 0
-37 -40 -41 -42 0
-38 -39 -40 -41 0
-38 -39 -40 -42 0
-38 -39 -41 -42 0
-38 -40 -41 -42 0
-39 -40 -41 -42 0
37 38 39 40 0
37 38 39 41 0
37 38 39 42 0
37 38 40 41 0
37 38 40 42 0
37 38 41 42 0
37 39 40 41 0
37 39 40 42 0
37 39 41 42 0
37 40 41 42 0
38 39 40 41 0
38 39 40 42 0
38 39 41 42 0
38 40 41 42 0
39 40 41 42 0
-43 -44 -45 -46 0
-43 -44 -45 -47 0
-43 -44 -46 -47 0
-43 -45 -46 -47 0
-44 -45 -46 -47 0
43 44 45 0
43 44 46 0
43 44 47 0
43 44 45 46 0
43 44 45 47 0
43 44 46 47 0
43 45 46 0
43 45 47 0
43 46 47 0
43 45 46 47 0
44 45 46 0
44 45 47 0
44 46 47 0
44 45 46 47 0
45 46 47 0
-1 -7 -13 -19 -25 0
-1 -7 -13 -19 -31 0
-1 -7 -13 -19 -37 0
-1 -7 -13 -19 -43 0
-1 -7 -13 -25 -31 0
-1 -7 -13 -25 -37 0
-1 -7 -13 -25 -43 0
-1 -7 -13 -31 -37 0
-1 -7 -13 -31 -43 0
