filename,c,v,clauses_vars_ratio,vars_clauses_ratio,vcg_var_mean,vcg_var_coeff,vcg_var_min,vcg_var_max,vcg_var_entropy,vcg_clause_mean,vcg_clause_coeff,vcg_clause_min,vcg_clause_max,vcg_clause_entropy,vg_mean,vg_coeff,vg_min,vg_max,pnc_ratio_mean,pnc_ratio_coeff,pnc_ratio_min,pnc_ratio_max,pnc_ratio_entropy,pnv_ratio_mean,pnv_ratio_coeff,pnv_ratio_min,pnv_ratio_max,pnv_ratio_entropy,pnv_ratio_stdev,binary_ratio,ternary_ratio,ternary+,hc_fraction,hc_var_mean,hc_var_coeff,hc_var_min,hc_var_max,hc_var_entropy,sat
../instances/shadow/CBS_k3_n100_m403_b10_0_n100_m403_61-1.txt,401,99,4.05050505050505,0.24688279301745636,0.03020227209753394,0.27091418459143857,0.007481296758104738,0.04738154613466334,2.542462300188681,0.030202272097533945,0.03323579457076109,0.020202020202020204,0.030303030303030304,0.05588691140309253,0.0533010907075745,0.2409244034245887,0.014962593516209476,0.08478802992518704,0.4979218620116376,0.5831087160735465,0.0,1.0,0.5916274088433666,0.23761636722514853,0.7539253009156429,0.0,0.75,3.2401708404733562,0.17914499116270202,0.00997506234413965,0.9900249376558603,1.0,0.5012468827930174,0.015113730824454016,0.3616628264005025,0.0024937655860349127,0.029925187032418952,2.159555807710817,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n99_m401_901.txt,397,98,4.051020408163265,0.24685138539042822,0.030483730015935847,0.26566154666303177,0.007556675062972292,0.04785894206549118,2.5196982037312488,0.030483730015935843,0.03732874135106014,0.02040816326530612,0.030612244897959183,0.06760925106494398,0.053770626638564745,0.23528460803197176,0.015113350125944584,0.08564231738035265,0.49538203190596136,0.5860731678856183,0.0,1.0,0.6011427082548422,0.2342437983834016,0.7360630756644494,0.0,0.75,3.1976902243282455,0.17241821069340976,0.012594458438287154,0.9874055415617129,1.0,0.5012594458438288,0.015241865007967922,0.35442451543895903,0.0025188916876574307,0.030226700251889168,2.1363691083032252,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n99_m401_90-1.txt,400,98,4.081632653061225,0.245,0.030408163265306123,0.26333196398407316,0.0075,0.0475,2.501277717310989,0.030408163265306123,0.04697986577181209,0.02040816326530612,0.030612244897959183,0.098039113279732,0.05341836734693878,0.234991960502151,0.015,0.085,0.5016666666666667,0.5830446468780911,0.0,1.0,0.5977647476178884,0.23282060839478544,0.7578254299518188,0.0,0.75,3.1828780052870487,0.1764373776584223,0.02,0.98,1.0,0.5,0.015178571428571428,0.3578095606057777,0.0025,0.03,2.1424820006773984,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n98_m400_351.txt,393,97,4.051546391752577,0.24681933842239187,0.03056058340547205,0.268270212929229,0.007633587786259542,0.04834605597964377,2.5131875946822584,0.03056058340547205,0.0625255754557058,0.020618556701030927,0.030927835051546393,0.15377647105284087,0.0535662758059862,0.2387695549627207,0.015267175572519083,0.08651399491094147,0.5004240882103478,0.5918337305425159,0.0,1.0,0.6342529765355489,0.23691029100767058,0.779591594492476,0.0,0.8181818181818181,3.136400408596267,0.18469327151834639,0.035623409669211195,0.9643765903307888,1.0,0.5012722646310432,0.015267175572519083,0.36057101208184056,0.002544529262086514,0.030534351145038167,2.153375435254981,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n98_m400_35-1.txt,394,97,4.061855670103093,0.24619289340101522,0.03053534983515621,0.26779948519764735,0.007614213197969543,0.048223350253807105,2.505181264676929,0.03053534983515621,0.06460920221471914,0.020618556701030927,0.030927835051546393,0.16176467898632785,0.053273326704694125,0.2392897870978777,0.015228426395939087,0.08629441624365482,0.5067681895093062,0.5856435945117021,0.0,1.0,0.6195390151362121,0.2380590193092188,0.7444383478704159,0.0,0.75,3.1434410593797706,0.17722026303020627,0.03807106598984772,0.9619289340101523,1.0,0.5,0.015228426395939087,0.35818045967822354,0.0025380710659898475,0.030456852791878174,2.1074476184388136,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n97_m394_661.txt,389,96,4.052083333333333,0.2467866323907455,0.03066088260497001,0.27174767572165337,0.007712082262210797,0.04884318766066838,2.4890252158724886,0.03066088260497001,0.07847636633793979,0.020833333333333332,0.03125,0.21738208858011665,0.05323479005998286,0.24384292469891206,0.015424164524421594,0.08740359897172237,0.506426735218509,0.5942772945749129,0.0,1.0,0.6554166252271041,0.24040068655974228,0.7437700326618336,0.0,0.75,3.101076837037561,0.17880282649446674,0.056555269922879174,0.9434447300771208,1.0,0.5012853470437018,0.015263496143958869,0.36205017940883866,0.002570694087403599,0.030848329048843187,2.1102986501958725,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n97_m394_66-1.txt,387,96,4.03125,0.24806201550387597,0.03071167097329888,0.2706987602240116,0.007751937984496124,0.04909560723514212,2.473884939408343,0.03071167097329888,0.07508659067696372,0.020833333333333332,0.03125,0.20343129843777377,0.053456072351421184,0.24322899906644097,0.015503875968992248,0.08785529715762273,0.5064599483204134,0.5915287727965823,0.0,1.0,0.6443875806835699,0.2456011641866905,0.7272332685358585,0.0,0.75,3.151593276641158,0.17860933738769896,0.05167958656330749,0.9483204134366925,1.0,0.49870801033591733,0.015234711455641687,0.3618588498533936,0.002583979328165375,0.031007751937984496,2.0950074595422987,False
../instances/shadow/CBS_k3_n100_m403_b10_0_n96_m389_691.txt,384,95,4.042105263157895,0.24739583333333334,0.03081140350877193,0.2702547665340267,0.0078125,0.049479166666666664,2.4691276045958963,0.030811403508771932,0.08882550871422552,0.021052631578947368,0.031578947368421054,0.2611189419933816,0.05301535087719298,0.24031699219376737,0.015625,0.08854166666666667,0.5043402777777778,0.6032818863489489,0.0,1.0,0.6851991436913993,0.24723660168339978,0.7287333459569607,0.0,0.75,3.1339094573764457,0.18016955598777226,0.07291666666666667,0.9270833333333334,1.0,0.5026041666666666,0.015323464912280703,0.3580678641344345,0.0026041666666666665,0.03125,2.1050169952973956,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n96_m389_69-1.txt,383,95,4.031578947368421,0.24804177545691905,0.03083688333104301,0.27035774673293134,0.007832898172323759,0.04960835509138381,2.5015957727787743,0.030836883331043015,0.08738039913565879,0.021052631578947368,0.031578947368421054,0.2549202749105684,0.05320873986532912,0.2405184093835095,0.015665796344647518,0.08877284595300261,0.5082680591818973,0.5971290857556324,0.0,1.0,0.670185938040695,0.24409198165186433,0.7314293893008711,0.0,0.75,3.101304783446992,0.17853604907286255,0.07049608355091384,0.9295039164490861,1.0,0.49869451697127937,0.015253538546104164,0.36612506206839773,0.0026109660574412533,0.031331592689295036,2.1068012623482693,True
../instances/shadow/CBS_k3_n100_m403_b10_0_n95_m384_871.txt,371,93,3.989247311827957,0.25067385444743934,0.03089586412775701,0.2673134493203566,0.008086253369272238,0.04851752021563342,2.4189255394277893,0.030895864127757005,0.11576152233322587,0.021505376344086023,0.03225806451612903,0.380035387682671,0.052169376575949916,0.23176057249446674,0.016172506738544475,0.08086253369272237,0.5211141060197664,0.6116827338940622,0.0,1.0,0.7492987926888922,0.24284576376606737,0.7723555302538911,0.0,0.75,2.848172055045066,0.18756326864345216,0.12668463611859837,0.8733153638814016,1.0,0.5121293800539084,0.015679795959771613,0.36001206450689965,0.0026954177897574125,0.029649595687331536,2.0976970117925875,False
